Time,Balance (%),Total Exports Value (%),Customs Import Value (Gen) (%)
2002,0.220100080228997,0.031925679380313,0.107797600741429
2003,0.233057371251402,0.039140561000745,0.12125807022925
2004,0.247780835934414,0.042249163477572,0.133824212669016
2005,0.261891820591842,0.045713951329966,0.145489525891974
2006,0.282741002421096,0.052314530899813,0.155223248479208
2007,0.319631259877659,0.05481358789174,0.164256072762293
2008,0.328400162377274,0.054163867358775,0.160565740178809
2009,0.450526969299456,0.065808571283626,0.190028961405961
2010,0.429741664363563,0.071890085633088,0.190689644530561
2011,0.406990276916707,0.070233375351974,0.180878392389479
2012,0.431383475846042,0.07149380628076,0.186981164825374
2013,0.462215757886648,0.0771269475692,0.19419426624627
2014,0.469470402623594,0.076243419152937,0.198813286477621
2015,0.492738652920454,0.077077882109772,0.214869804461712
2016,0.471661691311621,0.079640368772195,0.211461026638719
2017,0.473460119960928,0.084021208321731,0.215920229988676
2018,0.4804291617826,0.072215956968691,0.2124904076948
2019,0.404045006265109,0.064782002869491,0.180839136958808
